Codes,Description
B19.20,  Unspecified viral hepatitis C without hepatic coma
B19.21,  Unspecified viral hepatitis C with hepatic coma
B19.9,   Unspecified viral hepatitis without hepatic coma
B20.,    Human immunodeficiency virus [HIV] disease
B25.0,   Cytomegaloviral pneumonitis
B25.1,   Cytomegaloviral hepatitis
B25.2,   Cytomegaloviral pancreatitis
B25.8,   Other cytomegaloviral diseases
B25.9,"   Cytomegaloviral disease, unspecified"
B26.0,   Mumps orchitis
B26.1,   Mumps meningitis
B26.2,   Mumps encephalitis
B26.3,   Mumps pancreatitis
B26.81,  Mumps hepatitis
B26.82,  Mumps myocarditis
B26.83,  Mumps nephritis
B26.84,  Mumps polyneuropathy
B26.85,  Mumps arthritis
B26.89,  Other mumps complications
B26.9,   Mumps without complication
B27.00,  Gammaherpesviral mononucleosis without complication
B27.01,  Gammaherpesviral mononucleosis with polyneuropathy
B27.02,  Gammaherpesviral mononucleosis with meningitis
B27.09,  Gammaherpesviral mononucleosis with other complications
B27.10,  Cytomegaloviral mononucleosis without complications
B27.11,  Cytomegaloviral mononucleosis with polyneuropathy
B27.12,  Cytomegaloviral mononucleosis with meningitis
B27.19,  Cytomegaloviral mononucleosis with other complication
B27.80,  Other infectious mononucleosis without complication
B27.81,  Other infectious mononucleosis with polyneuropathy
B27.82,  Other infectious mononucleosis with meningitis
B27.89,  Other infectious mononucleosis with other complication
B27.90,"  Infectious mononucleosis, unspecified without complication"
B27.91,"  Infectious mononucleosis, unspecified with polyneuropathy"
B27.92,"  Infectious mononucleosis, unspecified with meningitis"
B27.99,"  Infectious mononucleosis, unspecified with other complication"
B30.0,   Keratoconjunctivitis due to adenovirus
B30.1,   Conjunctivitis due to adenovirus
B30.2,   Viral pharyngoconjunctivitis
B30.3,   Acute epidemic hemorrhagic conjunctivitis (enteroviral)
B30.8,   Other viral conjunctivitis
B30.9,"   Viral conjunctivitis, unspecified"
B33.0,   Epidemic myalgia
B33.1,   Ross River disease
B33.20,"  Viral carditis, unspecified"
B33.21,  Viral endocarditis
B33.22,  Viral myocarditis
B33.23,  Viral pericarditis
B33.24,  Viral cardiomyopathy
B33.3,"   Retrovirus infections, not elsewhere classified"
B33.4,   Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]
B33.8,   Other specified viral diseases
B34.0,"   Adenovirus infection, unspecified"
B34.1,"   Enterovirus infection, unspecified"
B34.2,"   Coronavirus infection, unspecified"
B34.3,"   Parvovirus infection, unspecified"
B34.4,"   Papovavirus infection, unspecified"
B34.8,   Other viral infections of unspecified site
B34.9,"   Viral infection, unspecified"
B35.0,   Tinea barbae and tinea capitis
B35.1,   Tinea unguium
B35.2,   Tinea manuum
B35.3,   Tinea pedis
B35.4,   Tinea corporis
B35.5,   Tinea imbricata
B35.6,   Tinea cruris
B35.8,   Other dermatophytoses
B35.9,"   Dermatophytosis, unspecified"
B36.0,   Pityriasis versicolor
B36.1,   Tinea nigra
B36.2,   White piedra
B36.3,   Black piedra
B36.8,   Other specified superficial mycoses
B36.9,"   Superficial mycosis, unspecified"
B37.0,   Candidal stomatitis
B37.1,   Pulmonary candidiasis
B37.2,   Candidiasis of skin and nail
B37.31,  Acute candidiasis of vulva and vagina
B37.32,  Chronic candidiasis of vulva and vagina
B37.41,  Candidal cystitis and urethritis
B37.42,  Candidal balanitis
B37.49,  Other urogenital candidiasis
B37.5,   Candidal meningitis
B37.6,   Candidal endocarditis
B37.7,   Candidal sepsis
B37.81,  Candidal esophagitis
B37.82,  Candidal enteritis
B37.83,  Candidal cheilitis
B37.84,  Candidal otitis externa
B37.89,  Other sites of candidiasis
B37.9,"   Candidiasis, unspecified"
B38.0,   Acute pulmonary coccidioidomycosis
B38.1,   Chronic pulmonary coccidioidomycosis
B38.2,"   Pulmonary coccidioidomycosis, unspecified"
B38.3,   Cutaneous coccidioidomycosis
B38.4,   Coccidioidomycosis meningitis
B38.7,   Disseminated coccidioidomycosis
B38.81,  Prostatic coccidioidomycosis
B38.89,  Other forms of coccidioidomycosis
B38.9,"   Coccidioidomycosis, unspecified"
B39.0,   Acute pulmonary histoplasmosis capsulati
B39.1,   Chronic pulmonary histoplasmosis capsulati
B39.2,"   Pulmonary histoplasmosis capsulati, unspecified"
B39.3,   Disseminated histoplasmosis capsulati
B39.4,"   Histoplasmosis capsulati, unspecified"
B39.5,   Histoplasmosis duboisii
B39.9,"   Histoplasmosis, unspecified"
B40.0,   Acute pulmonary blastomycosis
B40.1,   Chronic pulmonary blastomycosis
B40.2,"   Pulmonary blastomycosis, unspecified"
B40.3,   Cutaneous blastomycosis
B40.7,   Disseminated blastomycosis
B40.81,  Blastomycotic meningoencephalitis
B40.89,  Other forms of blastomycosis
B40.9,"   Blastomycosis, unspecified"
B41.0,   Pulmonary paracoccidioidomycosis
B41.7,   Disseminated paracoccidioidomycosis
B41.8,   Other forms of paracoccidioidomycosis
B41.9,"   Paracoccidioidomycosis, unspecified"
B42.0,   Pulmonary sporotrichosis
B42.1,   Lymphocutaneous sporotrichosis
B42.7,   Disseminated sporotrichosis
B42.81,  Cerebral sporotrichosis
B42.82,  Sporotrichosis arthritis
B42.89,  Other forms of sporotrichosis
B42.9,"   Sporotrichosis, unspecified"
B43.0,   Cutaneous chromomycosis
B43.1,   Pheomycotic brain abscess
B43.2,   Subcutaneous pheomycotic abscess and cyst
B43.8,   Other forms of chromomycosis
B43.9,"   Chromomycosis, unspecified"
B44.0,   Invasive pulmonary aspergillosis
B44.1,   Other pulmonary aspergillosis
B44.2,   Tonsillar aspergillosis
B44.7,   Disseminated aspergillosis
B44.81,  Allergic bronchopulmonary aspergillosis
B44.89,  Other forms of aspergillosis
B44.9,"   Aspergillosis, unspecified"
B45.0,   Pulmonary cryptococcosis
B45.1,   Cerebral cryptococcosis
B45.2,   Cutaneous cryptococcosis
B45.3,   Osseous cryptococcosis
B45.7,   Disseminated cryptococcosis
B45.8,   Other forms of cryptococcosis
B45.9,"   Cryptococcosis, unspecified"
B46.0,   Pulmonary mucormycosis
B46.1,   Rhinocerebral mucormycosis
B46.2,   Gastrointestinal mucormycosis
B46.3,   Cutaneous mucormycosis
B46.4,   Disseminated mucormycosis
B46.5,"   Mucormycosis, unspecified"
B46.8,   Other zygomycoses
B46.9,"   Zygomycosis, unspecified"
B47.0,   Eumycetoma
B47.1,   Actinomycetoma
B47.9,"   Mycetoma, unspecified"
B48.0,   Lobomycosis
B48.1,   Rhinosporidiosis
B48.2,   Allescheriasis
B48.3,   Geotrichosis
B48.4,   Penicillosis
B48.8,   Other specified mycoses
B49.,    Unspecified mycosis
B50.0,   Plasmodium falciparum malaria with cerebral complications
B50.8,   Other severe and complicated Plasmodium falciparum malaria
B50.9,"   Plasmodium falciparum malaria, unspecified"
B51.0,   Plasmodium vivax malaria with rupture of spleen
B51.8,   Plasmodium vivax malaria with other complications
B51.9,   Plasmodium vivax malaria without complication
B52.0,   Plasmodium malariae malaria with nephropathy
B52.8,   Plasmodium malariae malaria with other complications
B52.9,   Plasmodium malariae malaria without complication
B53.0,   Plasmodium ovale malaria
B53.1,   Malaria due to simian plasmodia
B53.8,"   Other malaria, not elsewhere classified"
B54.,    Unspecified malaria
B55.0,   Visceral leishmaniasis
B55.1,   Cutaneous leishmaniasis
B55.2,   Mucocutaneous leishmaniasis
B55.9,"   Leishmaniasis, unspecified"
B56.0,   Gambiense trypanosomiasis
B56.1,   Rhodesiense trypanosomiasis
B56.9,"   African trypanosomiasis, unspecified"
B57.0,   Acute Chagas' disease with heart involvement
B57.1,   Acute Chagas' disease without heart involvement
B57.2,   Chagas' disease (chronic) with heart involvement
B57.30,"  Chagas' disease with digestive system involvement, unspecified"
B57.31,  Megaesophagus in Chagas' disease
B57.32,  Megacolon in Chagas' disease
B57.39,  Other digestive system involvement in Chagas' disease
B57.40,"  Chagas' disease with nervous system involvement, unspecified"
B57.41,  Meningitis in Chagas' disease
B57.42,  Meningoencephalitis in Chagas' disease
B57.49,  Other nervous system involvement in Chagas' disease
B57.5,   Chagas' disease (chronic) with other organ involvement
B58.00,"  Toxoplasma oculopathy, unspecified"
B58.01,  Toxoplasma chorioretinitis
B58.09,  Other toxoplasma oculopathy
B58.1,   Toxoplasma hepatitis
B58.2,   Toxoplasma meningoencephalitis
B58.3,   Pulmonary toxoplasmosis
B58.81,  Toxoplasma myocarditis
B58.82,  Toxoplasma myositis
B58.83,  Toxoplasma tubulo-interstitial nephropathy
B58.89,  Toxoplasmosis with other organ involvement
B58.9,"   Toxoplasmosis, unspecified"
B59.,    Pneumocystosis
B60.00,"  Babesiosis, unspecified"
B60.01,  Babesiosis due to Babesia microti
B60.02,  Babesiosis due to Babesia duncani
B60.03,  Babesiosis due to Babesia divergens
B60.09,  Other babesiosis
B60.10,"  Acanthamebiasis, unspecified"
B60.11,  Meningoencephalitis due to Acanthamoeba (culbertsoni)
B60.12,  Conjunctivitis due to Acanthamoeba
B60.13,  Keratoconjunctivitis due to Acanthamoeba
B60.19,  Other acanthamebic disease
B60.2,   Naegleriasis
B60.8,   Other specified protozoal diseases
B64.,    Unspecified protozoal disease
B65.0,   Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
B65.1,   Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
B65.2,   Schistosomiasis due to Schistosoma japonicum
B65.3,   Cercarial dermatitis
B65.8,   Other schistosomiasis
B65.9,"   Schistosomiasis, unspecified"
B66.0,   Opisthorchiasis
B66.1,   Clonorchiasis
B66.2,   Dicroceliasis
B66.3,   Fascioliasis
B66.4,   Paragonimiasis
B66.5,   Fasciolopsiasis
B66.8,   Other specified fluke infections
B66.9,"   Fluke infection, unspecified"
B67.0,   Echinococcus granulosus infection of liver
B67.1,   Echinococcus granulosus infection of lung
B67.2,   Echinococcus granulosus infection of bone
B67.31,"  Echinococcus granulosus infection, thyroid gland"
B67.32,"  Echinococcus granulosus infection, multiple sites"
B67.39,"  Echinococcus granulosus infection, other sites"
B67.4,"   Echinococcus granulosus infection, unspecified"
B67.5,   Echinococcus multilocularis infection of liver
B67.61,"  Echinococcus multilocularis infection, multiple sites"
B67.69,"  Echinococcus multilocularis infection, other sites"
B67.7,"   Echinococcus multilocularis infection, unspecified"
B67.8,"   Echinococcosis, unspecified, of liver"
B67.90,"  Echinococcosis, unspecified"
B67.99,  Other echinococcosis
B68.0,   Taenia solium taeniasis
B68.1,   Taenia saginata taeniasis
B68.9,"   Taeniasis, unspecified"
B69.0,   Cysticercosis of central nervous system
B69.1,   Cysticercosis of eye
B69.81,  Myositis in cysticercosis
B69.89,  Cysticercosis of other sites
B69.9,"   Cysticercosis, unspecified"
B70.0,   Diphyllobothriasis
B70.1,   Sparganosis
B71.0,   Hymenolepiasis
B71.1,   Dipylidiasis
B71.8,   Other specified cestode infections
B71.9,"   Cestode infection, unspecified"
B72.,    Dracunculiasis
B73.00,"  Onchocerciasis with eye involvement, unspecified"
B73.01,  Onchocerciasis with endophthalmitis
B73.02,  Onchocerciasis with glaucoma
B73.09,  Onchocerciasis with other eye involvement
B73.1,   Onchocerciasis without eye disease
B74.0,   Filariasis due to Wuchereria bancrofti
B74.1,   Filariasis due to Brugia malayi
B74.2,   Filariasis due to Brugia timori
B74.3,   Loiasis
B74.4,   Mansonelliasis
B74.8,   Other filariases
B74.9,"   Filariasis, unspecified"
B75.,    Trichinellosis
B76.0,   Ancylostomiasis
B76.1,   Necatoriasis
B76.8,   Other hookworm diseases
B76.9,"   Hookworm disease, unspecified"
B77.0,   Ascariasis with intestinal complications
B77.81,  Ascariasis pneumonia
B77.89,  Ascariasis with other complications
B77.9,"   Ascariasis, unspecified"
B78.0,   Intestinal strongyloidiasis
B78.1,   Cutaneous strongyloidiasis
B78.7,   Disseminated strongyloidiasis
B78.9,"   Strongyloidiasis, unspecified"
B79.,    Trichuriasis
B80.,    Enterobiasis
B81.0,   Anisakiasis
B81.1,   Intestinal capillariasis
B81.2,   Trichostrongyliasis
B81.3,   Intestinal angiostrongyliasis
B81.4,   Mixed intestinal helminthiases
B81.8,   Other specified intestinal helminthiases
B82.0,"   Intestinal helminthiasis, unspecified"
B82.9,"   Intestinal parasitism, unspecified"
B83.0,   Visceral larva migrans
B83.1,   Gnathostomiasis
B83.2,   Angiostrongyliasis due to Parastrongylus cantonensis
B83.3,   Syngamiasis
B83.4,   Internal hirudiniasis
B83.8,   Other specified helminthiases
B83.9,"   Helminthiasis, unspecified"
B85.0,   Pediculosis due to Pediculus humanus capitis
B85.1,   Pediculosis due to Pediculus humanus corporis
B85.2,"   Pediculosis, unspecified"
B85.3,   Phthiriasis
B85.4,   Mixed pediculosis and phthiriasis
B86.,    Scabies
B87.0,   Cutaneous myiasis
B87.1,   Wound myiasis
B87.2,   Ocular myiasis
B87.3,   Nasopharyngeal myiasis
B87.4,   Aural myiasis
B87.81,  Genitourinary myiasis
B87.82,  Intestinal myiasis
B87.89,  Myiasis of other sites
B87.9,"   Myiasis, unspecified"
B88.0,   Other acariasis
B88.1,   Tungiasis [sandflea infestation]
B88.2,   Other arthropod infestations
B88.3,   External hirudiniasis
B88.8,   Other specified infestations
B88.9,"   Infestation, unspecified"
B89.,    Unspecified parasitic disease
B90.0,   Sequelae of central nervous system tuberculosis
B90.1,   Sequelae of genitourinary tuberculosis
B90.2,   Sequelae of tuberculosis of bones and joints
B90.8,   Sequelae of tuberculosis of other organs
B90.9,   Sequelae of respiratory and unspecified tuberculosis
B91.,    Sequelae of poliomyelitis
B92.,    Sequelae of leprosy
B94.0,   Sequelae of trachoma
B94.1,   Sequelae of viral encephalitis
B94.2,   Sequelae of viral hepatitis
B94.8,   Sequelae of other specified infectious and parasitic diseases
B94.9,   Sequelae of unspecified infectious and parasitic disease
B95.0,"   Streptococcus, group A, as the cause of diseases classified elsewhere"
B95.1,"   Streptococcus, group B, as the cause of diseases classified elsewhere"
B95.2,   Enterococcus as the cause of diseases classified elsewhere
B95.3,   Streptococcus pneumoniae as the cause of diseases classified elsewhere
B95.4,   Other streptococcus as the cause of diseases classified elsewhere
B95.5,   Unspecified streptococcus as the cause of diseases classified elsewhere
B95.61,  Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere
B95.62,  Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere
B95.7,   Other staphylococcus as the cause of diseases classified elsewhere
B95.8,   Unspecified staphylococcus as the cause of diseases classified elsewhere
B96.0,   Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified elsewhere
B96.1,   Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere
B96.20,  Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B96.21,  Shiga toxin-producing Escherichia coli [E. coli] [STEC] O157 as the cause of diseases classified elsewhere
B96.22,  Other specified Shiga toxin-producing Escherichia coli [E. coli] [STEC] as the cause of diseases classified elsewhere
B96.23,  Unspecified Shiga toxin-producing Escherichia coli [E. coli] [STEC] as the cause of diseases classified elsewhere
B96.29,  Other Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B96.3,   Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere
B96.4,   Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere
B96.5,   Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
B96.6,   Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
B96.7,   Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere
B96.81,  Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere
B96.82,  Vibrio vulnificus as the cause of diseases classified elsewhere
B96.83,  Acinetobacter baumannii as the cause of diseases classified elsewhere
B96.89,  Other specified bacterial agents as the cause of diseases classified elsewhere
B97.0,   Adenovirus as the cause of diseases classified elsewhere
B97.10,  Unspecified enterovirus as the cause of diseases classified elsewhere
B97.11,  Coxsackievirus as the cause of diseases classified elsewhere
B97.12,  Echovirus as the cause of diseases classified elsewhere
B97.19,  Other enterovirus as the cause of diseases classified elsewhere
B97.21,  SARS-associated coronavirus as the cause of diseases classified elsewhere
B97.29,  Other coronavirus as the cause of diseases classified elsewhere
B97.30,  Unspecified retrovirus as the cause of diseases classified elsewhere
B97.31,  Lentivirus as the cause of diseases classified elsewhere
B97.32,  Oncovirus as the cause of diseases classified elsewhere
